file,reason,confidence
curated\ruang-usaha\2022-01-15_CYvewYiJJVg,unggahan-satu-foto,-
curated\ruang-usaha\2022-01-21_CY-6na-J-Ma,unggahan-satu-foto,-
curated\ruang-usaha\2022-02-02_CZdZN4sJNon,unggahan-satu-foto,-
curated\ruang-usaha\2022-07-09_Cfxk0njJNoc,unggahan-satu-foto,-
curated\ruang-usaha\2022-09-16_CijTuaWJU4i,unggahan-satu-foto,-
curated\ruang-usaha\2023-01-10_CnO8d-tpaai,unggahan-satu-foto,-
curated\ruang-usaha\2023-02-23_CpALaBZJf7H,unggahan-satu-foto,-
curated\ruang-usaha\2023-02-23_CpAV07rJRYS,unggahan-satu-foto,-
curated\ruang-usaha\2023-03-16_Cp2ZrCEpCI7,unggahan-satu-foto,-
curated\ruang-usaha\2023-05-04_CrzemIZp4Tr,unggahan-satu-foto,-
curated\ruang-usaha\2023-07-27_CvMWnsbxxpR,unggahan-satu-foto,-
curated\ruang-usaha\2023-09-19_CxXELemRkmp,unggahan-satu-foto,-
curated\ruang-usaha\2023-09-30_CxzxsRXx5TQ,unggahan-satu-foto,-
curated\ruang-usaha\2023-10-16_CydTOekRoJu,unggahan-satu-foto,-
curated\ruang-usaha\2024-02-26_C3z_Vd0RXx6,unggahan-satu-foto,-
curated\ruang-usaha\2024-03-24_C44mxnbv_Op,unggahan-satu-foto,-
curated\ruang-usaha\2024-10-28_DBqN_o0RH6v,unggahan-satu-foto,-
curated\ruang-usaha\2024-11-04_DB75MGZTVQu,unggahan-satu-foto,-
curated\ruang-usaha\2024-11-28_DC52-6WTXR5,unggahan-satu-foto,-
curated\ruang-usaha\2024-12-10_DDZcuKCTe7f,unggahan-satu-foto,-
curated\ruang-usaha\2025-11-15_DREdPkzk7jy,unggahan-satu-foto,-
curated\ruang-usaha\2025-11-28_DRl8LCDk2u3,unggahan-satu-foto,-
curated\ruang-usaha\2026-04-15_DXJKXFMk9N5,unggahan-satu-foto,-
curated\dapur\2022-02-15_CZ_Zp2opU9r\daikuinterior_CZ_Zp2opU9r_1.jpg,cad-3d,0.6985
curated\dapur\2022-02-19_CaJABsOpCeJ\daikuinterior_CaJABsOpCeJ_4.jpg,promotional,0.524
curated\dapur\2022-05-25_Cd95f3Rp66p\daikuinterior_Cd95f3Rp66p_1.jpg,cad-3d,0.5662
curated\dapur\2022-06-17_Ce45ffmJold\daikuinterior_Ce45ffmJold_0.jpg,cad-3d,0.9564
curated\dapur\2022-06-17_Ce45ffmJold\daikuinterior_Ce45ffmJold_1.jpg,cad-3d,0.8859
curated\dapur\2022-06-17_Ce45ffmJold\daikuinterior_Ce45ffmJold_2.jpg,cad-3d,0.9281
curated\dapur\2022-06-17_Ce45ffmJold\daikuinterior_Ce45ffmJold_3.jpg,cad-3d,0.9536
curated\dapur\2022-06-17_Ce45ffmJold\daikuinterior_Ce45ffmJold_4.jpg,cad-3d,0.9512
curated\dapur\2022-08-04_Cg0cKZZpXhi\daikuinterior_Cg0cKZZpXhi_1.jpg,cad-3d,0.6394
curated\dapur\2022-09-12_CiY2Cz3JZQi\daikuinterior_CiY2Cz3JZQi_2.jpg,cad-3d,0.6333
curated\dapur\2022-09-12_CiY2Cz3JZQi\daikuinterior_CiY2Cz3JZQi_3.jpg,cad-3d,0.8316
curated\dapur\2022-10-05_CjUO_TbJHXy\daikuinterior_CjUO_TbJHXy_0.jpg,cad-3d,0.6102
curated\dapur\2023-02-13_ColmnzlpP4-\daikuinterior_ColmnzlpP4-_0.jpg,cad-3d,0.5429
curated\dapur\2023-02-13_ColmnzlpP4-\daikuinterior_ColmnzlpP4-_3.jpg,cad-3d,0.9221
curated\dapur\2023-02-13_ColmnzlpP4-\daikuinterior_ColmnzlpP4-_4.jpg,cad-3d,0.7361
curated\dapur\2023-03-02_CpRtxu_SgCO\daikuinterior_CpRtxu_SgCO_2.jpg,cad-3d,0.5776
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_0.jpg,cad-3d,0.5632
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_1.jpg,cad-3d,0.9174
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_2.jpg,line-drawing,0.5961
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_3.jpg,cad-3d,0.8395
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_5.jpg,cad-3d,0.8631
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_6.jpg,cad-3d,0.7548
curated\dapur\2023-03-07_CpfY9TOpUkI\daikuinterior_CpfY9TOpUkI_7.jpg,cad-3d,0.8857
curated\dapur\2023-03-09_CpjT9bOpHGi\daikuinterior_CpjT9bOpHGi_0.jpg,cad-3d,0.9633
curated\dapur\2023-03-09_CpjT9bOpHGi\daikuinterior_CpjT9bOpHGi_1.jpg,cad-3d,0.5895
curated\dapur\2023-03-09_CpjT9bOpHGi\daikuinterior_CpjT9bOpHGi_2.jpg,cad-3d,0.83
curated\dapur\2023-05-02_CruK5LWPke7\daikuinterior_CruK5LWPke7_0.jpg,cad-3d,0.8326
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_0.jpg,cad-3d,0.9985
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_1.jpg,cad-3d,0.994
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_2.jpg,cad-3d,0.9924
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_3.jpg,cad-3d,0.9444
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_4.jpg,cad-3d,0.9881
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_5.jpg,cad-3d,0.9951
curated\dapur\2023-05-10_CsDd-zfRR6e\daikuinterior_CsDd-zfRR6e_6.jpg,cad-3d,0.9803
curated\dapur\2023-05-20_CsdoKKDSREK\daikuinterior_CsdoKKDSREK_7.jpg,cad-3d,0.7834
curated\dapur\2023-06-15_CtguYlHRPFb\daikuinterior_CtguYlHRPFb_0.jpg,cad-3d,0.5971
curated\dapur\2023-10-06_CyDukZFxMn7\daikuinterior_CyDukZFxMn7_0.jpg,cad-3d,0.6118
curated\dapur\2023-10-11_CyQdbhQx5xL\daikuinterior_CyQdbhQx5xL_0.jpg,cad-3d,0.5262
curated\dapur\2023-10-16_CycQpEYx666\daikuinterior_CycQpEYx666_4.jpg,cad-3d,0.5426
curated\dapur\2023-10-17_Cye4_MyR7S9\daikuinterior_Cye4_MyR7S9_4.jpg,cad-3d,0.8939
curated\dapur\2023-10-17_Cye4_MyR7S9\daikuinterior_Cye4_MyR7S9_7.jpg,cad-3d,0.572
curated\dapur\2023-10-24_CyxzcXhxVag\daikuinterior_CyxzcXhxVag_0.jpg,cad-3d,0.9823
curated\dapur\2023-10-24_CyxzcXhxVag\daikuinterior_CyxzcXhxVag_1.jpg,cad-3d,0.9812
curated\dapur\2023-10-24_CyxzcXhxVag\daikuinterior_CyxzcXhxVag_2.jpg,cad-3d,0.9514
