post,file,classification,destination_category,confidence,action
2022-02-08_CZs74Nap7VO,daikuinterior_CZs74Nap7VO_1.jpg,ruang-usaha,ruang-usaha,0.556,moved
2022-02-08_CZs74Nap7VO,daikuinterior_CZs74Nap7VO_2.jpg,ruang-usaha,ruang-usaha,0.4945,moved
2022-02-08_CZs74Nap7VO,daikuinterior_CZs74Nap7VO_3.jpg,ruang-usaha,ruang-usaha,0.5328,moved
2022-02-08_CZtBBTSpZ3L,daikuinterior_CZtBBTSpZ3L_0.jpg,furnitur-detail,furnitur-detail,0.9442,moved
2022-02-08_CZtQLwIJNhW,daikuinterior_CZtQLwIJNhW_0.jpg,furnitur-detail,furnitur-detail,0.8498,moved
2022-02-10_CZx2AYCpoLL,daikuinterior_CZx2AYCpoLL_0.jpg,furnitur-detail,furnitur-detail,0.9721,moved
2022-02-10_CZx9D2jpd6k,daikuinterior_CZx9D2jpd6k_0.jpg,ruang-usaha,ruang-usaha,0.5261,moved
2022-02-10_CZx9D2jpd6k,daikuinterior_CZx9D2jpd6k_1.jpg,ruang-usaha,ruang-usaha,0.67,moved
2022-02-10_CZx9D2jpd6k,daikuinterior_CZx9D2jpd6k_2.jpg,furnitur-detail,ruang-usaha,0.6035,moved
2022-02-10_CZx9D2jpd6k,daikuinterior_CZx9D2jpd6k_3.jpg,furnitur-detail,ruang-usaha,0.8508,moved
2022-02-10_CZx9D2jpd6k,daikuinterior_CZx9D2jpd6k_4.jpg,ruang-usaha,ruang-usaha,0.8479,moved
2022-02-15_CZ_Zp2opU9r,daikuinterior_CZ_Zp2opU9r_0.jpg,dapur,dapur,0.5974,moved
2022-02-15_CZ_Zp2opU9r,daikuinterior_CZ_Zp2opU9r_1.jpg,dapur,dapur,0.4955,moved
2022-02-15_CZ_Zp2opU9r,daikuinterior_CZ_Zp2opU9r_2.jpg,kamar-mandi,dapur,0.7762,moved
2022-02-15_CZ_Zp2opU9r,daikuinterior_CZ_Zp2opU9r_3.jpg,furnitur-detail,dapur,0.5534,moved
2022-02-16_CaBcgcDJ1D_,daikuinterior_CaBcgcDJ1D__0.jpg,foto-orang,foto-orang,0.6292,moved
2022-02-16_CaBcgcDJ1D_,daikuinterior_CaBcgcDJ1D__1.jpg,promosi,promosi,0.6216,moved
2022-02-16_CaBcgcDJ1D_,daikuinterior_CaBcgcDJ1D__2.jpg,foto-orang,foto-orang,0.5323,moved
2022-02-16_CaBcgcDJ1D_,daikuinterior_CaBcgcDJ1D__3.jpg,promosi,promosi,0.4554,moved
2022-02-16_CaCG2stpDIP,daikuinterior_CaCG2stpDIP_0.jpg,furnitur-detail,furnitur-detail,0.57,moved
2022-02-17_CaD7BPjpnEo,daikuinterior_CaD7BPjpnEo_0.jpg,furnitur-detail,furnitur-detail,0.8176,moved
2022-02-17_CaD7D_upe48,daikuinterior_CaD7D_upe48_0.jpg,dapur,dapur,0.9127,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_0.jpg,ruang-usaha,ruang-usaha,0.9034,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_1.jpg,ruang-usaha,ruang-usaha,0.9816,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_2.jpg,ruang-usaha,ruang-usaha,0.9823,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_3.jpg,kamar-mandi,ruang-usaha,0.9565,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_4.jpg,ruang-usaha,ruang-usaha,0.9705,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_5.jpg,kamar-mandi,ruang-usaha,0.9635,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_6.jpg,ruang-usaha,ruang-usaha,0.8868,moved
2022-02-17_CaD7PZ4pbJ8,daikuinterior_CaD7PZ4pbJ8_7.jpg,ruang-usaha,ruang-usaha,0.9825,moved
2022-02-18_CaGf8CZpR3k,daikuinterior_CaGf8CZpR3k_0.jpg,kamar-mandi,kamar-mandi,0.5659,moved
2022-02-18_CaGf8CZpR3k,daikuinterior_CaGf8CZpR3k_1.jpg,kamar-mandi,kamar-mandi,0.6198,moved
2022-02-18_CaGf8CZpR3k,daikuinterior_CaGf8CZpR3k_2.jpg,ruang-usaha,kamar-mandi,0.8099,moved
2022-02-18_CaGfaINJNLt,daikuinterior_CaGfaINJNLt_0.jpg,foto-orang,foto-orang,0.928,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_0.jpg,furnitur-detail,furnitur-detail,0.8496,moved
